央视,#genre#
天津卫视,http://106.115.26.37:9999/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
天津卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0135_1.m3u8
吉林卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0116_1.m3u8
河北卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0117_1.m3u8
山西卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0118_1.m3u8
云南卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0119_1.m3u8
贵州卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0120_1.m3u8
辽宁卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0121_1.m3u8
四川卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0123_1.m3u8
广东卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0125_1.m3u8
厦门卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0129_1.m3u8
山东卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0131_1.m3u8
东南卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0132_1.m3u8
陕西卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0136_1.m3u8
深圳卫视,http://106.115.26.37:9999/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&down=1
海南卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0137_1.m3u8
江西卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0138_1.m3u8
河南卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0139_1.m3u8
青海卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0140_1.m3u8
重庆卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0142_1.m3u8
卡酷少儿,http://wentaomeiyu1.x3322.net:3600/tsfile/live/1017_1.m3u8
卡酷少儿,http://106.115.26.37:9999/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&down=1
卡酷少儿,http://gongzhuling.lnott.top:58000/hls/63/index.m3u8
金鹰卡通,http://wentaomeiyu1.x3322.net:3600/tsfile/live/1016_1.m3u8
金鹰卡通,http://106.115.26.37:9999/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
嘉佳卡通,http://gongzhuling.lnott.top:58000/hls/65/index.m3u8
哈哈炫动,http://gongzhuling.lnott.top:58000/hls/66/index.m3u8
苏州新闻综合,http://tylive.kan0512.com/norecord/norecord_csztv1.m3u8
苏州社会经济,http://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州文化生活,http://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州生活资讯,http://tylive.kan0512.com/norecord/norecord_csztv5.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰中文,http://210.210.155.37/uq2663/h/h157/index2.m3u8
凤凰中文,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV43.m3u8
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130 
江西,#genre#
江西卫视,https://live.goodiptv.club/api/bestv.php?id=jxws8m/8000000
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225492/index.m3u8?fmt=ts2hls
江西卫视,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv1.m3u8?source=pc&t=170422642243394&token=a7731b0878a53110b533ad899c7294e1
江西卫视,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225746/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225705/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225746/index.m3u8 
江西卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225705/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225705/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225583/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225492/index.m3u8?fmt=ts2hls
江西卫视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225746/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225583/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225583/index.m3u8 

江西都市,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225584/2/index.m3u8?fmt=ts2hls?zjiangxd  
江西都市,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv3_hd.m3u8?source=pc&t=170422660372992&token=3971cddbbee1fa1cbdebad3bc8a494f4
江西都市,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225584/index.m3u8
江西都市,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv2.m3u8?source=pc&t=170422651722471&token=ad2dde9b6ee261f1201ccd202a750269 
江西都市,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225584/index.m3u8
江西都市,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225584/index.m3u8?fmt=ts2hls 
江西都市,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225584/index.m3u8

江西经济,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225580/2/index.m3u8?fmt=ts2hls?
江西经济,https://yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv4.m3u8?source=pc&t=170422672658126&token=e5a96ab9ebd2fb5377723fd36003e670
江西经济,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226206/index.m3u8?fmt=ts2hls
江西经济,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221226206/index.m3u8
江西经济,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226206/index.m3u8
江西经济,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225580/index.m3u8
江西经济,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226206/index.m3u8
江西经济,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225580/index.m3u8
江西经济,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225580/index.m3u8

江西影视,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225579/2/index.m3u8?fmt=ts2hls?zjiangxd
江西影视,http://39.134.115.163:8080/PLTV/88888888/224/3221225579/index.m3u8?fmt=ts2hls
江西影视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225579/index.m3u8
江西影视,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225579/index.m3u8
江西影视,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225579/index.m3u8
江西影视,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225579/index.m3u8

江西新闻,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225576/2/index.m3u8?fmt=ts2hls?
江西新闻,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225576/index.m3u8
江西新闻,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225615/index.m3u8
江西新闻,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225615/index.m3u8
江西新闻,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225576/index.m3u8
江西新闻,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225615/index.m3u8?fmt=ts2hls
江西新闻,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225576/index.m3u8
江西新闻,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225615/index.m3u8

江西教育,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221226197/2/index.m3u8?fmt=ts2hls?
江西教育,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226197/index.m3u8?fmt=ts2hls
江西教育,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226197/index.m3u8
江西教育,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226197/index.m3u8
江西教育,#EXTM3U x-tvg-url="https://live.fanmingming.com/e.xml"

